,DateTime,Close,High,Low,Volume,Bid Price,Ask Price
0,2023-02-02 09:00:00,146.99,147.09,146.56,1154,147.17,147.17
1,2023-02-02 09:01:00,147.23,147.23,147.09,3720,147.2,147.2
2,2023-02-02 09:02:00,147.1,147.1,147.1,180,147.09,147.09
3,2023-02-02 09:03:00,147.1,147.1,147.1,0,147.0,147.0
4,2023-02-02 09:04:00,147.1,147.1,147.1,0,146.97,146.97
5,2023-02-02 09:05:00,147.49,147.49,146.97,991,147.15,147.15
6,2023-02-02 09:06:00,147.09,147.1,147.09,319,147.2,147.2
7,2023-02-02 09:07:00,147.09,147.09,147.09,0,147.05,147.05
8,2023-02-02 09:08:00,147.09,147.09,147.09,0,146.97,146.97
9,2023-02-02 09:09:00,146.83,146.83,146.83,100,146.85,146.85
10,2023-02-02 09:10:00,146.85,146.85,146.85,150,146.97,146.97
11,2023-02-02 09:11:00,147.0,147.0,147.0,1070,147.1,147.1
12,2023-02-02 09:12:00,147.1,147.1,147.02,288,147.13,147.13
13,2023-02-02 09:13:00,147.0,147.0,147.0,100,147.1,147.1
14,2023-02-02 09:14:00,147.0,147.0,147.0,694,147.1,147.1
15,2023-02-02 09:15:00,147.0,147.0,147.0,300,147.1,147.1
16,2023-02-02 09:16:00,147.0,147.01,147.0,507,147.02,147.02
17,2023-02-02 09:17:00,147.0,147.0,147.0,321,147.04,147.04
18,2023-02-02 09:18:00,147.0,147.0,147.0,0,147.0,147.0
19,2023-02-02 09:19:00,147.0,147.0,147.0,0,146.88,146.88
20,2023-02-02 09:20:00,146.85,146.85,146.85,116,147.0,147.0
21,2023-02-02 09:21:00,146.85,146.85,146.85,0,146.9,146.9
22,2023-02-02 09:22:00,146.98,146.98,146.98,100,147.05,147.05
23,2023-02-02 09:23:00,147.01,147.01,147.01,250,147.09,147.09
24,2023-02-02 09:24:00,147.02,147.02,147.02,100,147.09,147.09
25,2023-02-02 09:25:00,147.02,147.02,147.02,0,147.0,147.0
26,2023-02-02 09:26:00,147.0,147.0,146.96,589,147.09,147.09
27,2023-02-02 09:27:00,147.0,147.0,147.0,0,147.09,147.09
28,2023-02-02 09:28:00,147.0,147.0,147.0,0,147.0,147.0
29,2023-02-02 09:29:00,147.0,147.0,147.0,0,147.0,147.0
30,2023-02-02 09:30:00,147.0,147.0,147.0,0,147.06,147.06
31,2023-02-02 09:31:00,147.0,147.0,147.0,0,147.04,147.04
32,2023-02-02 09:32:00,147.0,147.0,147.0,0,147.04,147.04
33,2023-02-02 09:33:00,147.0,147.0,147.0,0,146.97,146.97
34,2023-02-02 09:34:00,147.0,147.0,147.0,0,146.96,146.96
35,2023-02-02 09:35:00,147.0,147.0,147.0,0,146.99,146.99
36,2023-02-02 09:36:00,147.0,147.0,147.0,0,147.04,147.04
37,2023-02-02 09:37:00,147.0,147.0,147.0,0,147.04,147.04
38,2023-02-02 09:38:00,146.99,146.99,146.99,100,146.99,146.99
39,2023-02-02 09:39:00,146.99,146.99,146.99,0,146.99,146.99
40,2023-02-02 09:40:00,146.99,146.99,146.99,0,147.02,147.02
